state,x,y
Albany,450,190
Annapolis,460,82
Atlanta,315,-135
Augusta,570,300
Austin,-88,-156
Baton Rouge,95,-174
Bismarck,-114,290
Boise,-400,222
Boston,530,195
Carson City,-457,96
Charleston,370,53
Cheyenne,-265,165
Columbia,410,-106
Columbus,300,82
Concord,540,230
Denver,-212,20
Des Moines,88,115
Dover,495,62
Frankfort,275,1
Harrisburg,410,127
Hartford,535,146
Helena,-290,275
Honolulu,-517,-285
Indianapolis,235,89
Jackson,170,-123
Jefferson City,79,6
Juneau,-380,-300
Lansing,248,181
Lincoln,-76,116
Little Rock,110,-80
Madison,133,213
Montgomery,239,-145
Montpelier,517,249
Nashville,231,-60
Oklahoma City,-33,-81
Olympia,-475,350
Phoenix,-363,-70
Pierre,-100,210
Providence,563,184
Raleigh,379,-35
Richmond,434,12
Sacramento,-550,13
Salem,-498,238
Santa Fe,-258,-93
Springfield,175,57
Saint Paul,53,235
Salt Lake City,-340,34
Tallahasee,400,-245
Topeka,-17,5
Trenton,510,105
