state,x,y
Alabama,139,-77
Alaska,-204,-170
Arizona,-203,-40
Arkansas,57,-50
California,-297,13
Colorado,-112,20
Connecticut,297,96
Delaware,272,42
Florida,220,-145
Georgia,182,-90
Hawaii,-317,-143
Idaho,-216,122
Illinois,95,37
Indiana,133,39
Iowa,38,65
Kansas,-17,5
Kentucky,149,1
Louisiana,59,-114
Maine,319,169
Maryland,255,53
Massachusetts,307,117
Michigan,148,101
Minnesota,23,135
Mississippi,94,-63
Missouri,49,6
Montana,-141,150
Nebraska,-61,66
Nevada,-257,56
New Hampshire,302,132
New Jersey,282,68
New Mexico,-128,-43
New York,236,104
North Carolina,239,-22
North Dakota,-44,158
Ohio,176,52
Oklahoma,-8,-41
Oregon,-278,138
Pennsylvania,238,77
Rhode Island,313,104
South Carolina,218,-51
South Dakota,-44,109
Tennessee,131,-20
Texas,-38,-106
Utah,-189,34
Vermont,282,149
Virginia,234,12
Washington,-257,193
West Virginia,200,23
Wisconsin,83,113
Wyoming,-134,90
